chr1	7145079	23645079	0,1,0,0,0,0
chr1	25645079	42145079	0,1,0,0,0,0
chr10	130197826	146697826	1,0,0,0,0,0
chr11	42806855	59306855	1,0,0,0,0,0
chr12	44712635	61212635	0,0,0,0,1,0
chr12	63212635	79712635	0,1,0,0,0,0
chr12	81712635	98212635	1,0,0,0,0,0
chr12	115055427	131555427	1,0,0,0,0,0
chr14	35487978	51987978	0,0,0,1,0,0
chr15	87882629	104382629	1,0,0,0,0,0
chr16	618091	17118091	0,1,0,0,0,0
chr16	29482526	45982526	0,1,0,0,0,0
chr16	85101698	101601698	1,0,0,0,0,0
chr16	103601698	120101698	0,1,0,0,0,0
chr17	46769821	63269821	0,1,0,0,0,0
chr19	17397853	33897853	1,0,0,0,0,0
chr2	1936155	18436155	0,1,0,0,0,0
chr2	43671059	60171059	1,0,0,0,0,0
chr2	62171059	78671059	1,0,0,0,0,0
chr2	198735106	215235106	1,0,0,2,0,0
chr2	229208254	245708254	2,0,0,0,0,0
chr20	5254619	21754619	0,0,0,1,0,0
chr21	33432368	49932368	2,1,0,0,0,0
chr22	18257671	34757671	1,0,0,0,0,0
chr3	39768957	56268957	0,1,0,0,0,0
chr3	58268957	74768957	1,0,0,0,0,0
chr5	85125726	101625726	1,0,0,0,0,0
chr5	103625726	120125726	1,0,0,0,0,0
chr5	148258536	164758536	1,0,0,0,0,0
chr6	41466158	57966158	0,1,0,0,0,0
chr6	155815488	172315488	2,0,0,0,0,0
chr7	17608954	34108954	0,1,0,0,0,0
chr7	40639008	57139008	0,0,0,0,1,0
chr7	68160979	84660979	0,1,0,0,0,0
chr7	150482550	166982550	1,0,0,0,0,0
chr8	116372639	132872639	0,1,0,0,0,0
chr8	143405271	159905271	1,0,0,0,0,0
chr9	108200646	124700646	1,0,0,0,0,0
chrX	17870917	34370917	0,2,0,0,0,0
chrX	36370917	52870917	0,1,0,0,0,0
chrX	54870917	71370917	0,0,0,1,0,0
chrX	73370917	89870917	1,0,0,0,0,0
chrX	91870917	108370917	0,0,1,0,0,0
chrX	110370917	126870917	0,1,0,0,0,0
chrX	128870917	145370917	0,0,0,0,0,1
chrX	147370917	163870917	0,0,0,1,0,0
chrX	165870917	182370917	1,0,0,0,0,0
chrX	184370917	200870917	5,0,0,2,1,0
